URL: https://github.com/sasellers01/8MJuegoMemes/tree/main

=== HISTORIAS DE USUARIO ===
HU1  | Sergio S   | en progreso
HU2  | Sergio S   | en progreso
HU3  | Sergio S   | en progreso
HU4  | Sergio S   | en progreso
HU5  | Adrián     | en progreso
HU6  | Adrián     | pendiente
HU7  | Sergio G   | pendiente
HU8  | Sergio S   | pendiente
HU9  | Sergio G   | en progreso
HU10 | Adrián     | pendiente

=== REQUERIMIENTOS TÉCNICOS ===
TT1  | Sergio G   | hecho
TT2  | Sergio G   | hecho
TT3  | Adrián     | hecho
TT4  | Sergio G   | hecho
TT5  | Sergio G   | hecho
TT6  | Adrián     | hecho
TT7  | Adrián     | hecho

=== DOCUMENTACIÓN ===
TD1  | Adrián     | pendiente
TD2  | Sergio S   | pendiente
TD3  | Sergio G   | pendiente
